com.samsung.shealth.sleep,6212007,5
original_efficiency,mental_recovery,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,has_sleep_data,combined_id,data_version,physical_recovery,original_wake_up_time,movement_awakening,original_bed_time,quality,extra_data,sleep_cycle,efficiency,sleep_score,sleep_duration,com.samsung.health.sleep.start_time,com.samsung.health.sleep.custom,com.samsung.health.sleep.update_time,com.samsung.health.sleep.create_time,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.deviceuuid,com.samsung.health.sleep.comment,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.end_time,com.samsung.health.sleep.datauuid
,68.0,25,44,1,12,40,321,103,1,22,0,0,98b3adae-c7bd-4344-86c6-d7a66fe21a6b,3,56.0,,20.0,,,99d33137-8df5-4da3-a90f-d58a566cd09d.extra_data.json,4,87.0,67,321,2022-04-17 08:49:00.000,,2022-04-17 14:22:43.454,2022-04-17 14:22:32.840,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-17 14:10:00.000,99d33137-8df5-4da3-a90f-d58a566cd09d,
,77.0,17,22,1,3,10,155,75,0,5,0,0,98b3adae-c7bd-4344-86c6-d7a66fe21a6b,3,39.0,,11.0,,,43e07d8c-fce1-4046-8605-df6067dbe6d9.extra_data.json,2,93.0,74,155,2022-04-17 05:39:00.000,,2022-04-17 14:22:43.450,2022-04-17 08:22:35.751,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-17 08:14:00.000,43e07d8c-fce1-4046-8605-df6067dbe6d9,
