com.samsung.shealth.tracker.oxygen_saturation,6212007,3
source,tag_id,com.samsung.health.oxygen_saturation.start_time,com.samsung.health.oxygen_saturation.custom,com.samsung.health.oxygen_saturation.update_time,com.samsung.health.oxygen_saturation.create_time,com.samsung.health.oxygen_saturation.low_duration,com.samsung.health.oxygen_saturation.binning,com.samsung.health.oxygen_saturation.max,com.samsung.health.oxygen_saturation.min,com.samsung.health.oxygen_saturation.spo2,com.samsung.health.oxygen_saturation.time_offset,com.samsung.health.oxygen_saturation.deviceuuid,com.samsung.health.oxygen_saturation.comment,com.samsung.health.oxygen_saturation.pkg_name,com.samsung.health.oxygen_saturation.end_time,com.samsung.health.oxygen_saturation.datauuid,com.samsung.health.oxygen_saturation.heart_rate
,31301,2022-04-17 08:49:00.000,,2022-04-17 14:22:41.626,2022-04-17 14:22:41.626,0,a33db820-4345-4175-8587-a6dfa3797009.com.samsung.health.oxygen_saturation.binning.json,100.0,91.0,96.0,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-17 14:10:00.000,a33db820-4345-4175-8587-a6dfa3797009,,
,31301,2022-04-17 05:39:00.000,,2022-04-17 08:22:38.735,2022-04-17 08:22:38.735,1,fbb40560-052d-4b80-81ba-bd4b37b0073b.com.samsung.health.oxygen_saturation.binning.json,99.0,89.0,95.0,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-17 08:14:00.000,fbb40560-052d-4b80-81ba-bd4b37b0073b,,
