com.samsung.shealth.activity.day_summary,6212007,2
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
0,0,90,0,2022-04-10 22:09:14.319,2022-04-10 22:09:14.319,-1,0,0,0.0,0.0,eeefc5ef-d598-4ce1-94e2-9aa54e6e6659.extra_data.json,srrFtdx0wv,0,com.sec.android.app.shealth,0,-1,eeefc5ef-d598-4ce1-94e2-9aa54e6e6659,1648512000000,
0,0,90,0,2022-04-10 22:09:14.269,2022-04-10 22:09:14.269,-1,0,0,0.0,0.0,02e79572-cd0b-440e-93db-b39cf91b0d4b.extra_data.json,srrFtdx0wv,0,com.sec.android.app.shealth,0,-1,02e79572-cd0b-440e-93db-b39cf91b0d4b,1648166400000,
0,0,90,0,2022-04-10 22:09:14.432,2022-04-10 22:09:14.432,-1,0,0,0.0,0.0,208e23b6-6f0c-4836-83b1-5cd2eba880a1.extra_data.json,srrFtdx0wv,0,com.sec.android.app.shealth,0,-1,208e23b6-6f0c-4836-83b1-5cd2eba880a1,1649289600000,
10062,6075517,90,0,2022-04-13 05:06:51.191,2022-04-12 04:00:00.396,-1,779771,112,8070.2437,434.86597,9b17bc5d-090a-49e4-aacf-ee20d66f1e1a.extra_data.json,srrFtdx0wv,69970,com.sec.android.app.shealth,6005547,30300000,9b17bc5d-090a-49e4-aacf-ee20d66f1e1a,1649721600000,
0,0,90,0,2022-04-10 22:09:14.359,2022-04-10 22:09:14.359,-1,0,0,0.0,0.0,04ad8cf5-a233-464b-92a6-8141f3fefe1f.extra_data.json,srrFtdx0wv,0,com.sec.android.app.shealth,0,-1,04ad8cf5-a233-464b-92a6-8141f3fefe1f,1648857600000,
15877,9685966,90,0,2022-04-17 03:54:01.049,2022-04-16 04:00:00.367,-1,1109314,177,11893.473,747.79236,e004bf2c-06b9-418f-91f7-1e64b95b9912.extra_data.json,srrFtdx0wv,34387,com.sec.android.app.shealth,9651579,28620000,e004bf2c-06b9-418f-91f7-1e64b95b9912,1650067200000,
0,0,90,0,2022-04-10 22:09:14.343,2022-04-10 22:09:14.343,-1,0,0,0.0,0.0,d3210bce-3f52-4990-bcb2-8906a86c663f.extra_data.json,srrFtdx0wv,0,com.sec.android.app.shealth,0,-1,d3210bce-3f52-4990-bcb2-8906a86c663f,1648684800000,
12156,7294961,90,0,2022-04-15 03:55:01.108,2022-04-14 04:00:00.417,-1,728461,134,8783.771,533.2178,fc51f425-d4e7-45a2-a685-555f3e5850d3.extra_data.json,srrFtdx0wv,15200,com.sec.android.app.shealth,7279761,31080000,fc51f425-d4e7-45a2-a685-555f3e5850d3,1649894400000,
0,0,90,0,2022-04-10 22:09:14.390,2022-04-10 22:09:14.390,-1,0,0,0.0,0.0,04b297ba-c3e7-47c2-af3e-5d5e4f68966d.extra_data.json,srrFtdx0wv,0,com.sec.android.app.shealth,0,-1,04b297ba-c3e7-47c2-af3e-5d5e4f68966d,1649030400000,
0,0,90,0,2022-04-10 22:09:14.407,2022-04-10 22:09:14.407,-1,0,0,0.0,0.0,a5e68c24-fe01-4e88-bb96-507fc47a87dd.extra_data.json,srrFtdx0wv,0,com.sec.android.app.shealth,0,-1,a5e68c24-fe01-4e88-bb96-507fc47a87dd,1649203200000,
3533,2295792,90,0,2022-04-12 03:27:59.028,2022-04-11 04:00:00.847,-1,60000,42,2792.0693,155.44533,08ead4f5-2042-4105-bcdd-b4b89e4b83b7.extra_data.json,srrFtdx0wv,10800,com.sec.android.app.shealth,2284992,33360000,08ead4f5-2042-4105-bcdd-b4b89e4b83b7,1649635200000,
0,0,90,0,2022-04-10 22:09:14.438,2022-04-10 22:09:14.438,-1,0,0,0.0,0.0,346a3b4e-bbc3-4457-a651-85fa11899d55.extra_data.json,srrFtdx0wv,0,com.sec.android.app.shealth,0,-1,346a3b4e-bbc3-4457-a651-85fa11899d55,1649376000000,
5805,3553062,90,0,2022-04-17 23:08:35.023,2022-04-17 04:00:00.400,-1,617844,65,4424.8438,257.0776,43e48f4f-6b9a-4365-a287-e68781815558.extra_data.json,srrFtdx0wv,4534,com.sec.android.app.shealth,3548528,21480000,43e48f4f-6b9a-4365-a287-e68781815558,1650153600000,
3542,2167652,90,0,2022-04-14 03:58:13.601,2022-04-13 04:00:13.280,-1,420000,38,2770.4597,147.97046,0be3b043-d41e-4680-9280-a1750c4e10ce.extra_data.json,srrFtdx0wv,16295,com.sec.android.app.shealth,2151357,33480000,0be3b043-d41e-4680-9280-a1750c4e10ce,1649808000000,
11696,7306244,90,0,2022-04-16 05:26:04.948,2022-04-15 04:00:07.440,-1,696825,134,8762.548,525.32904,f5109f85-4134-4749-9ea4-95a1a4546f58.extra_data.json,srrFtdx0wv,24732,com.sec.android.app.shealth,7281512,25560000,f5109f85-4134-4749-9ea4-95a1a4546f58,1649980800000,
