com.samsung.shealth.stress,6212007,7
start_time,custom,binning_data,tag_id,update_time,create_time,max,min,score,algorithm,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
2022-04-12 22:00:00.000,,72cdc542-2cc4-42a3-9c1b-d49808797d66.binning_data.json,10011,2022-04-12 23:08:00.340,2022-04-12 23:07:51.460,2.0,2.0,2.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-12 22:59:59.999,72cdc542-2cc4-42a3-9c1b-d49808797d66,
2022-04-13 16:00:00.000,,d96d3166-820c-4e55-b100-3bc9f69c4fbf.binning_data.json,10011,2022-04-13 17:04:17.032,2022-04-13 17:04:17.032,62.0,0.0,5.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-13 16:59:59.999,d96d3166-820c-4e55-b100-3bc9f69c4fbf,
2022-04-13 11:00:00.000,,a03af6fa-e08c-4dca-9623-12b916606e98.binning_data.json,10011,2022-04-13 15:30:24.866,2022-04-13 15:30:24.866,35.0,5.0,13.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-13 11:59:59.999,a03af6fa-e08c-4dca-9623-12b916606e98,
2022-04-12 23:00:00.000,,2c6d644b-4de1-4729-b78b-dc19bcc14c41.binning_data.json,10011,2022-04-13 00:13:11.490,2022-04-12 23:58:46.737,81.0,0.0,34.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-12 23:59:59.999,2c6d644b-4de1-4729-b78b-dc19bcc14c41,
2022-04-13 15:00:00.000,,97cf61f2-f401-4914-99b6-29ede0bf4a15.binning_data.json,10011,2022-04-13 16:08:05.761,2022-04-13 16:08:05.761,16.0,0.0,4.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-13 15:59:59.999,97cf61f2-f401-4914-99b6-29ede0bf4a15,
2022-04-13 00:00:00.000,,15998365-1d07-4f0f-9e74-d177432c54c3.binning_data.json,10011,2022-04-13 11:50:10.747,2022-04-13 11:50:10.747,61.0,4.0,21.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-13 00:59:59.999,15998365-1d07-4f0f-9e74-d177432c54c3,
2022-04-14 13:00:00.000,,b890e0e5-beeb-4efd-a83e-a8b57c4d82ab.binning_data.json,10011,2022-04-14 14:10:42.969,2022-04-14 14:10:42.969,26.0,0.0,4.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-14 13:59:59.999,b890e0e5-beeb-4efd-a83e-a8b57c4d82ab,
2022-04-13 17:00:00.000,,5af22989-7f3d-44dc-8ff3-86abdc4a35c1.binning_data.json,10011,2022-04-13 18:06:49.723,2022-04-13 17:48:48.471,84.0,0.0,3.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-13 17:59:59.999,5af22989-7f3d-44dc-8ff3-86abdc4a35c1,
2022-04-14 01:00:00.000,,b299ecbc-7456-4478-8dac-99f3ab09c9fe.binning_data.json,10011,2022-04-14 13:22:29.830,2022-04-14 13:22:29.830,0.0,0.0,0.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-14 01:59:59.999,b299ecbc-7456-4478-8dac-99f3ab09c9fe,
2022-04-13 20:00:00.000,,1fb57612-42cd-4d42-8bee-10ab02af0ac7.binning_data.json,10011,2022-04-14 01:30:00.718,2022-04-13 20:17:14.521,2.0,2.0,2.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-13 20:59:59.999,1fb57612-42cd-4d42-8bee-10ab02af0ac7,
2022-04-13 18:00:00.000,,4cb71d66-7b04-4512-b049-b51fb81af7d7.binning_data.json,10011,2022-04-13 19:01:09.435,2022-04-13 19:01:09.435,30.0,0.0,6.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-13 18:59:59.999,4cb71d66-7b04-4512-b049-b51fb81af7d7,
