com.samsung.shealth.tracker.pedometer_step_count,6212007,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
5832,4,0,6,2022-04-11 01:32:00.000,,,2022-04-11 01:32:19.257,2022-04-11 01:32:19.257,6,0.7972944,4.6502075,0.24642944,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-11 01:33:00.000,9c96ac1d-3561-45d5-9618-f21bcf7c1bbb,
14248,4,0,30,2022-04-11 00:19:00.000,,,2022-04-11 00:19:37.461,2022-04-11 00:19:37.461,30,1.5833334,22.56,1.87,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-11 00:20:00.000,6b64358b-4be5-465c-876c-39902cbeb874,
16425,4,0,31,2022-04-11 02:14:00.000,,,2022-04-11 02:15:00.021,2022-04-11 02:14:01.941,31,1.4875911,24.434143,1.2629623,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-11 02:15:00.000,deb22209-9746-436e-972e-cd103e80a032,
8198,4,0,14,2022-04-10 22:27:00.000,,,2022-04-10 22:28:21.542,2022-04-10 22:28:21.542,14,1.2222222,10.02,0.58,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-10 22:28:00.000,87900110-d19b-4546-ac31-c006dc44263b,
4066,4,0,7,2022-04-11 01:42:00.000,,,2022-04-11 01:43:39.869,2022-04-11 01:43:39.869,7,1.3677547,5.5617065,0.2840042,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-11 01:43:00.000,7233f820-787f-4076-ac89-eedd53b68766,
47776,4,0,83,2022-04-11 00:18:00.000,,,2022-04-11 00:19:37.182,2022-04-11 00:19:37.182,83,1.25,59.72,3.3,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-11 00:19:00.000,920d7a61-00e0-4413-afec-4ad79e94cbcc,
1326,4,0,2,2022-04-11 04:36:00.000,,,2022-04-11 04:36:01.267,2022-04-11 04:36:00.040,2,1.1065338,1.4681396,0.08407593,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-11 04:37:00.000,b6bbfae4-7fa7-4341-97d2-98388f9297aa,
9655,4,0,9,2022-04-11 01:35:00.000,,,2022-04-11 01:35:41.883,2022-04-11 01:35:40.382,9,0.71149373,6.870117,0.37051392,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-11 01:36:00.000,a3f33a2e-5c9b-4ed9-8eb4-932ebf102114,
20079,4,0,33,2022-04-11 05:02:00.000,,,2022-04-11 05:02:52.996,2022-04-11 05:02:13.022,33,1.2323228,24.743958,1.3682556,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-11 05:03:00.000,34a0612e-90d1-43f5-aa40-0c0377de9c3d,
10763,4,0,19,2022-04-10 22:42:00.000,,,2022-04-10 22:44:56.831,2022-04-10 22:44:56.831,19,1.3843362,14.89975,0.7726221,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-10 22:43:00.000,541bfffd-c5b6-4f69-b4ad-b0f76403afff,
18644,4,0,28,2022-04-11 02:16:00.000,,,2022-04-11 02:16:57.058,2022-04-11 02:16:04.381,28,1.1226352,20.931152,1.1658974,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-11 02:17:00.000,56183edc-7d26-4781-9848-f5595287498a,
17995,4,0,28,2022-04-11 15:12:00.000,,,2022-04-11 15:12:44.488,2022-04-11 15:12:06.459,28,1.2027831,21.644897,1.3077049,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-11 15:13:00.000,8ff8657f-745e-4eff-8d8d-ad1714ce06e8,
3880,4,0,7,2022-04-11 04:23:00.000,,,2022-04-11 04:23:40.819,2022-04-11 04:23:40.819,7,1.4572182,5.6554565,0.28407288,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-11 04:24:00.000,6af86123-9e81-48fe-9d5d-68bdf642f4d4,
6946,4,0,14,2022-04-10 23:57:00.000,,,2022-04-10 23:57:59.921,2022-04-10 23:57:20.378,14,1.6223713,11.270081,0.5684891,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-10 23:58:00.000,cad1b31c-f76d-41df-bdb9-c6f6ccd974c7,
14211,4,0,24,2022-04-11 15:51:00.000,,,2022-04-11 15:52:31.786,2022-04-11 15:51:11.486,24,1.305937,18.558716,0.98158646,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-11 15:52:00.000,3b74a24c-925c-4de0-83ae-1cf1e6d087c1,
6048,4,0,12,2022-04-11 04:37:00.000,,,2022-04-11 04:38:42.222,2022-04-11 04:38:42.222,12,1.5492169,9.370911,0.49025345,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-11 04:38:00.000,01c5dccd-f7c8-4206-ba5b-06b64d7a7687,
5352,4,0,12,2022-04-10 22:30:00.000,,,2022-04-10 22:30:33.810,2022-04-10 22:30:30.792,12,1.760079,9.419998,0.50999975,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-10 22:31:00.000,7b8e31d2-1f9a-47d4-a356-31e9fc435f4b,
21950,4,0,38,2022-04-11 04:38:00.000,,,2022-04-11 04:38:56.731,2022-04-11 04:38:42.237,38,1.3685926,30.041565,1.5808563,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-11 04:39:00.000,dc0e4041-83c6-4514-912a-eab8a95233cb,
22576,4,0,41,2022-04-11 16:12:00.000,,,2022-04-11 16:12:59.928,2022-04-11 16:12:29.024,41,1.3978944,31.559448,1.6843529,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-11 16:13:00.000,392d9197-2b0d-419a-b8eb-f3bbf4e12339,
5723,4,0,8,2022-04-11 05:17:00.000,,,2022-04-11 05:17:30.742,2022-04-11 05:17:30.047,8,1.0629772,6.08374,0.32947922,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-11 05:18:00.000,860c30c9-3a19-431f-a27b-71097bf7f0c8,
10460,4,0,14,2022-04-11 16:23:00.000,,,2022-04-11 16:23:14.702,2022-04-11 16:23:07.761,14,0.9585243,10.0271,0.6031494,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-11 16:24:00.000,26271716-af00-4a10-911a-9e127509601b,
6507,4,0,13,2022-04-11 15:20:00.000,,,2022-04-11 15:20:26.521,2022-04-11 15:20:25.836,13,1.540651,10.026367,0.5330467,UTC-0400,srrFtdx0wv,com.sec.android.app.shealth,2022-04-11 15:21:00.000,eb6fddb2-7c03-4e25-a4a5-ab5833ec851b,
13312,4,0,25,2022-04-10 22:45:00.000,,,2022-04-10 22:46:12.003,2022-04-10 22:46:12.003,25,1.3333334,17.75,1.06,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-10 22:46:00.000,ed8cd0ce-3900-42d4-ace0-a7f1b415b1e7,
