com.samsung.health.floors_climbed,6212007,5
start_time,custom,update_time,create_time,floor,time_offset,deviceuuid,pkg_name,end_time,datauuid
2022-04-15 15:13:41.000,,2022-04-15 15:14:07.357,2022-04-15 15:14:07.357,1.0,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-15 15:13:58.000,da4d2d66-f05b-419a-9061-5b2b32d53129,
2022-04-13 00:37:55.000,,2022-04-13 00:38:53.084,2022-04-13 00:38:53.084,1.0,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-13 00:38:07.000,36729040-5f0b-414d-ab50-3114d87a2924,
2022-04-16 21:16:00.000,,2022-04-16 21:17:21.414,2022-04-16 21:17:21.280,2.0,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-16 21:16:42.000,7e205713-3b29-4da9-9117-1d2cc77466f4,
2022-04-15 20:19:27.000,,2022-04-15 20:21:00.649,2022-04-15 20:21:00.649,1.0,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-15 20:19:35.000,48bc10c2-0bc5-4f1d-88a2-adce3b5190de,
2022-04-14 21:47:27.001,,2022-04-14 21:48:35.811,2022-04-14 21:48:35.811,1.0,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-14 21:47:41.001,0103be69-abfa-4945-87ae-b49fbfd95b15,
2022-04-15 20:57:35.999,,2022-04-15 20:57:52.791,2022-04-15 20:57:52.791,1.0,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-15 20:57:40.999,c41db3d2-16d5-4f5f-89a6-c87aff867c1a,
2022-04-15 17:12:07.999,,2022-04-15 17:13:42.131,2022-04-15 17:13:42.131,1.0,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-15 17:12:33.999,b261dfa9-4278-4135-a38f-0cb35f1a424a,
2022-04-17 00:37:30.000,,2022-04-17 00:38:53.870,2022-04-17 00:38:10.350,2.0,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-17 00:38:16.000,9541325e-9c63-47c1-b8d7-86ed273b62bd,
2022-04-17 00:01:01.000,,2022-04-17 00:01:21.961,2022-04-17 00:01:21.961,1.0,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-17 00:01:07.000,f1e6f4e1-7866-49ad-9293-08a5747df642,
2022-04-15 21:48:30.000,,2022-04-15 21:49:21.450,2022-04-15 21:49:21.450,1.0,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-15 21:48:58.000,3f23a3b1-bad5-4527-af0a-c7f7a3f139e8,
2022-04-17 18:40:28.001,,2022-04-17 18:47:48.038,2022-04-17 18:47:47.513,2.0,UTC-0400,2ZwajQKcly,com.sec.android.app.shealth,2022-04-17 18:40:59.000,917fc961-b4a4-4d6b-a0b2-bf89359156d3,
